periodo,ano,mes,estado,regiao,bioma,cidade,precipitacao_mm_total,precipitacao_dias_sem_chuva,temp_max_media,temp_min_media,registros_diarios,media_hist_mm,anomalia_pct,evento_climatico
201707,2017,7,BA,Nordeste,Caatinga,Salvador,92.1,1,24.596774193548388,21.948387096774194,31,106.78181818181817,-13.75,normal
201708,2017,8,BA,Nordeste,Caatinga,Salvador,52.8,4,24.62903225806452,21.63225806451613,31,86.45454545454545,-38.93,seca_moderada
201709,2017,9,BA,Nordeste,Caatinga,Salvador,84.8,1,25.023333333333333,22.196666666666665,30,59.1,43.49,normal
201710,2017,10,BA,Nordeste,Caatinga,Salvador,43.9,2,26.780645161290323,23.080645161290324,31,58.400000000000006,-24.83,normal
201711,2017,11,BA,Nordeste,Caatinga,Salvador,97.5,1,27.290000000000003,23.52,30,117.47272727272728,-17.0,normal
201712,2017,12,BA,Nordeste,Caatinga,Salvador,71.6,7,28.62903225806452,24.33870967741936,31,63.08181818181818,13.5,normal
201801,2018,1,BA,Nordeste,Caatinga,Salvador,45.3,5,29.080645161290324,24.664516129032258,31,78.45833333333333,-42.26,seca_moderada
201802,2018,2,BA,Nordeste,Caatinga,Salvador,33.2,3,29.178571428571427,25.160714285714285,28,67.89166666666667,-51.1,seca_moderada
201803,2018,3,BA,Nordeste,Caatinga,Salvador,76.2,3,29.32258064516129,25.016129032258064,31,108.925,-30.04,seca_moderada
201804,2018,4,BA,Nordeste,Caatinga,Salvador,164.79999999999998,1,27.226666666666667,24.293333333333333,30,166.79166666666666,-1.19,normal
201805,2018,5,BA,Nordeste,Caatinga,Salvador,182.4,1,26.345161290322583,23.361290322580647,31,203.24166666666667,-10.25,normal
201806,2018,6,BA,Nordeste,Caatinga,Salvador,98.1,0,25.73333333333333,22.816666666666663,30,131.14166666666668,-25.2,normal
201807,2018,7,BA,Nordeste,Caatinga,Salvador,54.2,2,25.351612903225806,22.24516129032258,31,106.78181818181817,-49.24,seca_moderada
201808,2018,8,BA,Nordeste,Caatinga,Salvador,70.5,5,26.016129032258064,22.38387096774193,31,86.45454545454545,-18.45,normal
201809,2018,9,BA,Nordeste,Caatinga,Salvador,46.6,1,26.51,22.69333333333333,30,59.1,-21.15,normal
201810,2018,10,BA,Nordeste,Caatinga,Salvador,55.7,2,27.93548387096774,23.8,31,58.400000000000006,-4.62,normal
201811,2018,11,BA,Nordeste,Caatinga,Salvador,72.0,1,28.116666666666667,24.076666666666664,30,117.47272727272728,-38.71,seca_moderada
201812,2018,12,BA,Nordeste,Caatinga,Salvador,56.0,7,28.448387096774194,23.98064516129032,31,63.08181818181818,-11.23,normal
201901,2019,1,BA,Nordeste,Caatinga,Salvador,44.3,1,28.98064516129032,24.76129032258065,31,78.45833333333333,-43.54,seca_moderada
201902,2019,2,BA,Nordeste,Caatinga,Salvador,25.5,7,30.425,25.592857142857145,28,67.89166666666667,-62.44,seca_severa
201903,2019,3,BA,Nordeste,Caatinga,Salvador,148.8,6,29.67096774193548,25.25483870967742,31,108.925,36.61,normal
